pda	0	2	4	7	5	0	2	6	7	6
unreli	10	6	1	0	2	11	8	1	0	2
favor	9	3	4	2	0	9	3	4	2	0
tax	2	1	5	4	7	3	1	5	4	7
gorgeous	0	2	3	2	12	0	2	3	2	12
jelli	0	1	3	10	5	0	1	3	11	5
team	6	4	4	2	3	10	4	4	2	3
happier	1	2	3	3	10	1	2	3	3	10
awkward	5	3	5	6	0	5	3	7	9	0
predict	1	2	6	7	3	1	2	6	9	3
disappear	6	2	6	3	2	7	2	8	3	2
para	5	1	1	2	3	9	1	2	3	6
competit	2	0	3	7	7	2	0	3	7	7
catch	3	2	1	8	5	3	2	1	8	7
spanish	7	0	5	4	2	8	0	7	4	2
blurri	1	4	6	2	6	1	4	6	2	6
brick	5	2	3	4	5	5	2	3	4	5
headach	7	6	2	3	1	7	6	2	3	1
spare	1	1	3	8	6	1	1	3	8	6
natur	3	2	4	5	5	3	2	4	7	5
mediocr	2	6	5	3	3	2	6	6	4	3
shoot	2	3	2	6	6	2	3	2	9	7
status	5	6	3	4	2	5	10	4	4	3
bank	1	3	8	5	3	1	3	9	6	3
es	8	2	1	1	3	26	3	5	1	6
worthless	9	6	2	2	1	9	6	2	2	2
dedic	1	1	3	6	9	1	1	3	6	9
compet	2	2	4	5	7	2	3	4	5	7
hello	3	2	7	2	4	5	2	7	3	4
wear	5	4	3	4	4	5	5	3	6	4
lousi	6	7	4	2	1	8	7	5	2	1
field	4	3	3	7	3	6	3	4	7	3
max	3	4	4	5	4	3	5	4	5	4
breaker	3	0	4	6	7	4	0	4	6	8
metro	4	2	2	5	7	6	2	2	5	7
charact	3	2	4	6	4	4	2	8	7	6
member	3	2	1	6	7	3	2	1	6	7
tag	2	0	3	7	8	3	0	3	10	9
fingerprint	6	0	4	6	4	7	0	5	7	4
verifi	5	0	7	6	2	5	0	7	6	2
parent	3	3	3	5	6	6	5	3	6	8
sourc	3	3	6	3	4	3	3	6	3	5
count	3	2	3	7	5	3	2	4	7	5
breez	0	1	1	3	15	0	1	1	3	16
typic	1	1	4	7	7	1	1	4	7	9
primari	2	3	7	5	3	2	3	8	5	5
weird	4	3	4	6	3	4	3	4	8	3
event	3	3	2	9	3	3	10	2	9	4
label	8	3	2	5	2	8	5	2	6	2
mislead	4	7	4	1	3	4	7	4	1	3
compact	1	3	2	8	7	1	3	2	8	8
yeah	2	3	2	9	5	2	3	2	9	5
snapdragon	2	4	1	5	9	2	7	1	10	14
lo	7	3	3	2	1	9	4	6	3	1
ms	2	2	4	6	7	2	4	5	6	8
unhappi	8	7	3	2	1	10	7	3	2	1
walk	4	5	6	4	2	6	5	6	4	2
lead	6	1	6	5	3	6	1	6	5	4
increas	4	6	2	7	2	4	6	2	8	2
lol	4	0	6	3	7	4	0	6	3	8
mid	5	3	2	4	7	6	3	2	4	8
mix	5	1	7	3	5	5	1	8	4	5
xperia	7	1	1	4	7	8	1	1	5	9
sweet	2	2	3	4	10	2	3	3	4	11
brother	3	3	4	7	4	3	3	4	7	6
superior	1	5	2	7	6	1	6	2	8	7
truth	9	4	3	2	2	10	5	3	3	2
dumb	4	7	2	4	4	4	8	2	5	4
amazoncom	8	2	4	3	4	8	4	4	5	4
stylus	1	2	3	8	7	1	7	5	10	8
ebay	5	4	1	6	5	5	4	1	6	5
american	5	5	5	1	5	6	7	8	1	5
outstand	0	2	6	2	11	0	2	6	2	13
skydriv	0	1	6	6	8	0	1	15	6	8
generat	1	3	2	4	11	1	4	2	4	11
savvi	1	4	2	10	4	1	4	2	12	4
tether	1	1	6	7	6	2	3	9	9	10
frequenc	4	4	9	3	1	4	8	9	7	1
air	1	3	3	5	9	1	4	4	5	9
apn	0	3	3	8	6	0	3	3	13	7
weather	2	3	1	5	10	3	3	1	6	10
virtual	2	2	6	3	8	2	2	9	5	10
fool	6	6	2	3	5	6	6	2	3	5
alert	3	7	3	8	1	5	8	5	10	1
european	4	4	3	7	4	5	5	3	7	4
swap	3	5	5	4	5	4	5	6	4	7
clariti	1	3	2	12	4	1	3	2	13	4
paper	7	3	3	3	5	8	3	3	3	6
kit	1	2	4	11	4	1	2	4	17	6
fortun	3	2	5	6	5	3	2	5	6	5
agre	5	5	3	6	3	5	5	3	6	3
nfc	1	1	1	11	8	3	4	1	17	8
1080p	0	2	1	8	11	0	2	1	9	12
drag	0	4	5	8	5	0	4	5	8	6
indoor	1	2	8	7	4	1	3	8	7	6
recomend	1	3	4	7	6	1	3	4	7	6
net10	5	2	5	7	3	10	2	6	8	4
explor	1	1	8	6	6	1	1	8	8	6
layout	2	3	2	9	6	2	3	2	9	6
caller	3	5	7	5	1	3	6	11	6	1
familiar	2	1	2	9	8	2	1	2	9	8
preinstal	1	2	3	7	9	1	2	3	7	11
bunch	3	3	3	7	6	3	3	3	7	6
confirm	8	7	1	2	4	8	9	1	2	4
pair	1	3	3	8	7	1	3	4	10	8
upset	8	10	3	0	0	8	10	3	0	0
bargain	0	1	5	4	12	0	1	5	5	14
a1200	2	0	2	9	9	2	0	3	12	14
board	8	0	4	4	6	11	0	4	4	6
equip	9	4	4	2	3	10	5	5	2	3
generic	4	3	6	6	3	5	3	7	7	3
flat	2	1	8	6	5	2	1	8	6	5
cancel	8	6	2	4	2	10	14	2	4	3
egg	3	2	3	8	7	3	2	5	10	7
eye	1	3	2	6	11	1	4	2	6	11
en	10	1	1	2	1	25	5	2	2	2
content	7	4	1	4	6	10	4	2	4	6
firmwar	6	1	4	8	4	7	3	7	10	4
reader	5	3	3	4	8	6	3	3	4	8
uninstal	0	4	4	6	8	0	6	5	7	9
lcd	7	6	3	2	5	8	9	3	2	6
floor	7	5	2	2	7	7	5	2	2	8
megapixel	0	4	3	8	8	0	5	3	9	8
ming	3	1	3	9	6	3	1	3	14	10
flimsi	1	6	4	7	5	1	7	6	7	5
aspect	1	6	4	9	3	1	6	5	9	3
slick	0	1	5	8	9	0	1	6	8	9
720p	2	3	4	5	9	2	3	4	5	9
1st	4	6	1	8	4	4	8	2	9	5
input	4	3	6	4	4	4	3	12	4	5
bulki	1	4	4	9	5	1	5	5	9	5
complic	1	6	5	6	5	1	6	6	6	5
silent	5	4	7	3	4	6	4	7	3	6
earpiec	3	5	4	9	2	4	6	10	10	2
owner	4	2	6	3	8	5	2	7	5	8
snappi	0	3	1	8	11	0	3	1	9	11
mother	1	4	6	4	8	1	7	7	5	11
roam	4	4	4	7	4	5	5	4	14	6
dad	3	3	1	7	9	4	5	1	8	10
highest	2	3	1	8	10	2	3	1	8	10
appreci	3	3	5	7	6	3	3	6	9	6
mb	4	3	7	7	3	6	3	11	8	3
earli	5	4	4	3	8	5	4	4	5	9
iii	4	2	3	6	9	6	3	3	10	10
lucki	9	4	4	4	3	10	4	4	4	3
decis	2	5	4	5	8	2	5	4	8	8
log	4	5	4	4	6	5	5	4	8	6
convert	2	3	1	9	9	3	3	1	16	11
invest	4	6	3	6	5	6	6	3	7	5
sleep	4	4	4	7	4	4	6	4	8	4
assist	5	5	7	2	5	5	5	8	2	5
shortcut	1	1	8	9	5	1	1	10	10	8
trust	8	4	4	3	4	9	5	4	3	4
sms	2	4	4	9	5	2	4	4	12	7
upload	2	4	4	5	9	7	5	8	5	9
inconveni	2	9	4	6	2	2	9	4	6	2
superb	0	2	4	3	15	0	2	4	3	17
