Category,Phone,,,,,,,,,,,,
,,,,,,,,,,,,,
,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12
,charg,simpl,work,card,allow,nice,wifi,servic,tmobil,tmobil,camera,nokia,nokia
,time,problem,fine,support,nice,good,servic,short,product,month,price,top,lumia
,work,issu,expect,sd,devic,excel,data,time,amazon,plan,pretti,pictur,smartphon
,problem,work,great,memori,send,wifi,expect,custom,purchas,good,smart,great,batteri
,replac,turn,card,video,contact,amazon,set,return,credit,realiz,low,good,price
,charger,time,problem,micro,support,fast,connect,call,seller,purchas,good,qualiti,window
,kind,day,figur,sim,custom,easi,call,minut,return,pay,volum,camera,hand
Answer 1:,kind,simpl,expect,support,allow,excel,expect,return,tmobil,realiz,volum,top,hand
Answer 2:,,,,,,amazon,,,,purchas,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12
,larger,window,batteri,good,email,experi,s3,camera,wifi,app,screen,screen,work
,batteri,batteri,life,fast,screen,good,great,wifi,offic,small,email,great,samsung
,easi,android,screen,processor,price,nexus,good,pictur,connect,bought,work,video,servic
,window,iphon,day,ram,iphon,price,camera,flash,data,work,window,touch,three
,great,stick,process,amaz,featur,better,nokia,qualiti,love,purchas,activ,work,great
,screen,great,app,core,good,iphon,price,good,app,great,googl,camera,text
,good,app,card,screen,time,devic,smartphon,flaw,call,love,app,perfect,galaxi
Answer 1:,batteri,stick,process,screen,email,experi,camera,wifi,offic,app,work,work,three
Answer 2:,,,,,,,,,love,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12
,screen,love,text,enter,accident,call,sim,sim,good,buy,great,samsung,samsung
,button,great,call,messag,screen,charg,compar,contact,buy,great,good,app,galaxi
,slide,servic,galaxi,button,batteri,day,qualiti,good,qualiti,nokia,android,window,includ
,keyboard,price,custom,email,charg,cover,good,activ,price,step,three,os,batteri
,love,exceed,samsung,call,turn,issu,servic,work,wifi,problem,recommend,updat,price
,camera,easi,buy,text,button,time,signal,card,flash,good,bought,android,iphon
,number,window,servic,set,time,batteri,call,tmobil,camera,cell,price,tech,better
Answer 1:,number,exceed,buy,enter,accident,cover,compar,activ,wifi,step,three,os,includ
Answer 2:,,,,,screen,,,,,cell,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12
,card,money,camera,good,test,work,month,heavi,work,cool,good,good,work
,sd,work,big,camera,expect,great,screen,work,great,price,work,work,great
,money,good,work,great,great,month,work,fast,paid,good,sound,game,card
,decent,app,good,work,screen,good,wo,good,batteri,love,love,batteri,el
,memori,batteri,great,screen,love,speed,good,batteri,product,work,total,qualiti,worth
,work,wast,window,qualiti,work,price,great,screen,good,great,batteri,great,good
,sim,messag,app,deal,good,expect,plan,great,unlock,smart,great,sound,batteri
Answer 1:,sim,messag,app,work,expect,expect,month,heavi,unlock,work,total,game,el
Answer 2:,,,,,,,wo,,,,,,card
